model_glom,1-butanol,1-hexanol,1-pentanol,"2,3-butanedione",2-heptanone,2-octanone,3-methylthio-1-propanol,3-octanol,4-methylcyclohexanol,4-methylphenol,E2-hexenal,Z3-hexenol,benzaldehyde,butyric acid,cyclohexanone,ethanol,ethyl acetate,ethyl butyrate,ethyl lactate,gamma-valerolactone,geranyl acetate,hexyl acetate,isopentyl acetate,methyl salicylate,octanal,pentyl acetate
VA3,0.526852549676606,0.741434118615379,,0.166706737349004,0.54708318222007,0.296408353953525,,0.12333163405688001,0.8755708291308969,0.0293587850907779,0.427167739743094,0.9072499092381109,0.6946528847163449,0.14099322466601902,0.29428118247132895,,0.0780037301518169,0.016637752965372,,0.200484961981568,0.0497058683527159,0.0841602195595999,0.0972631398268769,0.0267161507758074,0.0614593308881249,0.36634315412408897
DP1l,,,,0.530365697188014,,,,,,,,,,0.13985889263099802,,,-0.0387331493374473,,,,,,,,,-0.0498177124368333
DC4,,,,0.6609769446534859,,,,,,,,,,0.9497502907573371,,,0.27799822124922996,,,,,,,,,0.270677977697202
VC2,0.0246777634382057,0.11847179977417098,,0.0190728533853781,0.0449279302842067,,0.0388310312434969,0.0095585434817722,0.0833108975425744,0.640209699352148,0.0060572194279244,,0.0251229765128613,0.0245835652577453,-0.0008290268912812019,,0.0078565774197448,0.0457036206685763,,0.0097360190801214,-0.0083873599416072,,0.0286115688771687,0.467652508689091,,
VA4,,,,,0.508363920171776,,,0.368504452969319,,-0.0154241209694853,0.0760656090919917,,0.0953741267344007,,-0.0012056386241612901,,0.0899017276592747,0.0628710878488497,,,0.0343827999334135,,0.313196748945584,,,
DC2,0.215574920278277,0.519847450742598,,0.150160647979199,0.263343289481283,0.336286256092818,0.110977666807613,0.5785975021713899,0.0776149846399788,0.0193723523617993,0.350836452227373,0.374101790009375,0.0249619274148348,0.304635582799468,0.0410606013751018,,0.0763095467102928,0.108805609986118,,0.20298625580782198,0.115618949388488,0.331213641450844,0.146161229805982,0.0696593043736498,0.12643645943180098,0.39468942924225897
VM7v,,,,,0.143964390063485,,,0.203670329365732,,0.0009178754986521939,0.00367972665925759,,0.0171488907557833,,0.0432995178068104,,0.07236366614442799,0.313506354111424,,,-0.0062085586134453,,0.09319036353818501,,,
DM5,0.00964775125674928,0.236571730514001,,0.00473808763291888,0.0038155282735165795,,0.0180134336592748,0.0362569130623913,0.0140371943113604,-0.00023402273028855,0.0159965277438464,,0.00530638041572808,0.004626480244641879,-0.00271333826964997,,0.0232228866163215,0.276171653068379,,0.0739612303802412,0.0006414662163430509,-0.00162677800233644,0.0316543737772274,0.0012689313704613,,0.0137139702911989
DL2v,-0.0214113954790857,0.112294926668439,0.0475496671332774,0.192095702297148,0.0248244280398357,0.0583172289893194,,,,,0.18804449649926397,0.0248244280398357,0.0376303892675154,0.29802551014794704,-0.0136660810969864,,-0.0192134587690945,0.0034102632522207,,,-0.0157192944212724,0.0363614463159964,,,0.14896501907682902,-0.0236577631826225
VM3,0.277635151839713,0.271477311989732,0.39111047324995796,0.268715015306163,0.279661681671976,,0.262613241247545,,,,0.124941332846325,0.379744181194016,0.22758729389924898,0.348869313682578,0.0744141284280349,0.0755575020741749,0.16305318185923,0.32023776351807004,0.21555379732741103,,0.0251472707911174,0.139193880663964,0.350825370811042,0.0414231856008849,,0.24151961812443498
VC1,,,,,,,,,,,,,,,,,,,,,,,,,,
VA5,0.0357153994203899,0.0251133292756482,0.0875582418370254,0.031169465828747,0.0107140337124715,,0.019516304156651,0.0299416170218626,0.0299416170218626,0.43070044602088,-0.00723356890076771,0.0731113494329044,0.0871726726507224,0.024846448601766002,0.0027039245177641,0.0109898002759933,0.0114408290693994,-0.00228919155854791,0.0669092118692264,0.0299416170218626,-0.000987329958708004,0.0058372830231868,0.026660945428872002,0.0497932808346398,,0.0216300794083733
DL2d,-0.0214113954790857,0.112294926668439,0.0475496671332774,0.192095702297148,0.0248244280398357,0.0583172289893194,,,,,0.18804449649926397,0.0248244280398357,0.0376303892675154,0.29802551014794704,-0.0136660810969864,,-0.0192134587690945,0.0034102632522207,,,-0.0157192944212724,0.0363614463159964,,,0.14896501907682902,-0.0236577631826225
VA7l,,,,,-0.08314188094330599,,,-0.0977631295747631,,0.5052693026601149,-0.0671014432955808,,0.0475783609304398,,-0.0858597743056854,,-0.0720724348490891,,,,,,-0.0639075842671173,,,
DA4l,-0.00458674259843239,0.45105797087416,0.260141200945581,0.0380275138496386,0.142152478990049,,0.0175099551858066,,,,0.166600847025448,0.325505284558871,0.1341629033274,-0.0344416279600334,0.37032320815333797,-0.0344416279600334,-0.00831807001839499,0.0912306080550416,0.0299106867469766,,-0.0351282232218985,-0.014058020973449,0.0680497723129376,0.0712977953518826,,0.0537459325796456
DA4m,0.0780443732113618,0.10080300961244,0.0917171867185968,0.0117538669546254,0.12828782672259598,,0.0201773907471594,0.132523483015188,,-0.0291047699570792,0.0357301690023932,0.0747826021397438,0.0069653074546042,0.0275416366222137,0.0744113732108548,0.0105556661382763,-0.0017976531475476,0.0248691804373271,0.10329079494797802,,0.0035742050414748,0.0747826021397438,0.185610050062829,0.0105014654631774,,0.130446552490345
VM2,0.322615877520036,0.33233543520173303,0.445684338078435,0.254284491768756,0.269653518625392,,0.18574382252377,,,0.163430003888599,0.316635201518561,0.343434075951935,0.136651293828103,0.0985790954107152,0.0699181560245124,0.0472558906347402,0.47743999191442793,0.701333573156292,0.39129640647284797,,0.0543636978566931,0.0712916042291582,0.4014870422143,0.0478079957476673,,0.35055622023879
