"","ac1A","ac1B","ac2A","ac2B","ac3A","ac3B","ac4","Or1a","Or2a","Or7a","Or9a","Or10a","Or13a","Or19a","Or22a","Or22b","Or22c","Or23a","Or24a","Or30a","Or33a","Or33b","Or33c","Or35a","Or42a","Or42b","Or43a","Or43b","Or45a","Or45b","Or46a","Or47a","Or47b","Or49a","Or49b","Or59a","Or59b","Or59c","Or65a","Or67a","Or67b","Or67c","Or67d","Or71a","Or74a","Or82a","Or85a","Or85b","Or85c","Or85d","Or85e","Or85f","Or88a","Or92a","Or94a","Or94b","Or98a","Gr21a.Gr63a","ab2B","ab4B","ab5B","pb2A","Or69a","ac1","ac2","ac3_noOr35a","Ir31a","Ir41a","Ir75a","Ir75d","Ir76a","Ir84a","Ir92a","Ir64a.DC4","Ir64a.DP1m","ac1BC","ac2BC","Or83c"
"YEJRWHAVMIAJKC-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,-0.0083661701277713,NA,0.0226174769488296,0.10651786255866,0.162351871742863,-0.0015242030770487,NA,-0.0170466721501069,0.0826147188933965,NA,NA,0.0085851617075143,NA,NA,NA,0.0054788230843819,NA,0.240535775616588,NA,NA,-0.0516034608728822,0.0921543630621692,NA,NA,NA,0.000419735125200903,0.069492943063672,NA,0.00843293882711819,NA,0.028979814948635,NA,0.0192874241186113,0.227443609346405,NA,0.0275198267338239,NA,NA,NA,-0.0128129321931748,-0.0160210752331288,0.0969425862750976,NA,NA,NA,0.0688966869741175,0.0040763797848096,NA,NA,NA,0.0882245753402618,NA,NA,NA,NA,NA,NA,0.028906633358612,0.055102040816327,0.065011311231679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JBFHTYHTHYHCDJ-UHFFFAOYSA-N",0.0245331022432342,-0.0305062018102581,-0.0329901277427929,-0.0324933074863842,0.0686119525491374,0.519256409012503,-0.0132751625889073,NA,0.03757444792049,0.0027334972216816,0.308884284975122,0.0517404929788887,NA,0.005254253424424,0.301608372412911,NA,NA,0.0421040411208829,NA,NA,NA,0.0634606739622648,NA,0.515814222314902,NA,NA,0.0339277180038086,0.153498480469136,NA,NA,NA,0.0529108398546508,-0.068391807842678,NA,0.00843293882711819,NA,0.0339058488259808,NA,0.0546916646385951,0.0909863758184795,NA,0.0718013057397346,NA,NA,NA,0.0040316939649758,-0.0072894052995491,0.117153398451352,NA,NA,NA,0.181771732363959,0.0061480202928036,NA,NA,NA,0.0728050762490867,NA,NA,NA,NA,NA,NA,0.088526564660749,0.055102040816327,-0.0251656688638756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPBFYZQJXZJBFQ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,0.0177515205855125,0.0165849882850129,0.0899886793750469,0.0517404929788887,NA,0.012310038396498,0.0779417958810415,NA,NA,0.0064388712806358,NA,NA,NA,0.0154841684136353,NA,0.0967119625636684,NA,NA,-0.0239823710127384,0.138412650992265,NA,NA,NA,0.0323945458309323,-0.04785331140811,NA,0.0058372830231868,NA,-0.0114540639869511,NA,0.0602858982229591,0.0417127819866469,NA,0.0197727051018304,NA,NA,NA,0.0401021849856476,-0.0247527451667085,0.525017427868605,NA,NA,NA,0.0903636962552995,-0.0332131493590815,NA,NA,NA,0.317350607848848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFYYFLINQYPWGJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,-0.001187209101571,0.0316637632153696,0.0074793136147569,0.0026558640994699,NA,-0.0365863981059171,0.0140685190687952,NA,NA,-0.0064388712806357,NA,NA,NA,0.0380842321559028,NA,-0.0316589353073696,NA,NA,-0.0653973278998019,-0.0070850419173377,NA,NA,NA,-0.0189982401883316,-0.007158526590197,NA,0.0097159463252409,NA,-0.016969490876365,NA,-0.0067364459174812,0.000651993223822398,NA,-0.0067982106294728,NA,NA,NA,-0.0141806844427538,-0.0212600771932766,-0.0176698436882622,NA,NA,NA,-0.0143988116994149,0.0144345823247794,NA,NA,NA,0.026843177242449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHBSPIPJMLAMEP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,0.0011381199442727,0.026631063345757,0.0041906993653277,-0.0042571359248938,NA,-0.0360995409904764,-0.000536279287711508,NA,NA,-0.0042925808537571,NA,NA,NA,0.0316937369599347,NA,-0.0550871845794912,NA,NA,-0.060799372224162,-0.0070850419173377,NA,NA,NA,-0.0130714618516733,-0.00990954360249902,NA,0.0045234614285419,NA,-0.0080004572558094,NA,-0.0171741636753316,-0.0086808257437228,NA,-0.0084473390638248,NA,NA,NA,-0.0100774276940169,0.0037052451050203,0.0194780346696119,NA,NA,NA,-0.004063527000932,-0.0021385417391722,NA,NA,NA,0.0237940507327644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDAGIHXWWSANSR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,-0.0035016832787995,0.0283706266659333,0.0547378939150359,0.0847901957077477,NA,-0.00375617705419309,0.0587340630234435,NA,NA,-0.0171703234150286,NA,NA,NA,-0.0459740774870028,NA,-0.00503091710376001,NA,NA,-0.0447065273594223,0.0085364882181185,NA,NA,NA,-0.0150486733016525,-0.050483297879841,NA,0.0135120485794227,NA,0.0502697617515814,NA,0.00657455178230529,-0.0030588744746759,NA,0.0123244744854566,NA,NA,NA,-0.0141806844427538,-0.0177674092198447,-0.0142923738940576,NA,NA,NA,0.0240257147572754,-6.69012311782999e-05,NA,NA,NA,0.0116153790795991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12442396313364
"QTBSBXVTEAMEQO-UHFFFAOYSA-N",NA,NA,NA,NA,0.396742136620755,-0.0335874471875291,0.0081652379343464,NA,0.0129410212724869,0.035859601345805,0.0394014606715389,-0.0341234805259109,-0.0403938645840601,-0.000114889905896504,0.0562672038130805,NA,NA,-0.0021462904268786,NA,NA,NA,-0.0285041922233254,NA,-0.0249873001856155,NA,-0.0185147829931733,0,0.0184015576011894,NA,NA,NA,-0.0091121228350283,-0.073072958096497,NA,0.0160034213569354,NA,0.0479931251349074,NA,0.0129997696499568,-0.0185777356647812,0.134588027116845,0.0016622936139657,NA,NA,NA,0.0142544674523476,0.0037052451050203,0.0295812115349694,NA,NA,NA,0.0359318840079154,-0.010425103771148,-0.0258841626639755,NA,NA,0.0574362616406286,0.000981536791755999,NA,-0.0581053636944792,NA,NA,0.270577395577396,0.109303207387251,0.694897959183674,0.042991350975787,-0.071047280407361,0.131765898174496,0.559838653874578,0.0559693842684343,-0.0448016919334678,-0.00473920015675,-0.0671168781100788,1,0.475007800806612,NA,NA,0.0368663594470042
"XBDQKXXYIPTUBI-UHFFFAOYSA-N",0.0714593901742077,-0.0261481729802212,0.188177111306722,0.0384011815748181,0.370478564493622,-0.0281677572967123,0.0332434809211114,0.0142162364384587,-0.0041683406778675,0.0085674704228046,0.0726281447316409,0.158544916829215,0.0293699452811528,0.00594613937482501,0.0661377300857385,NA,NA,-0.0064388712806357,NA,-0.0124334561664348,0.0341189674523008,-0.00251119256900981,NA,-0.0434762003084636,0.124905538707241,0.112303209112597,-0.0239823710127384,0.0059328998622091,0.0300897497429683,0.0034432193416771,NA,-0.0411634878612354,-0.03414699952196,0.0232448139296564,0.0209066312850405,0.0312906809261995,0.0479931251349074,NA,0.0254485253699672,0.0949643384483125,0.0753167218025769,0.0236073356463349,NA,NA,0.128538740094172,-0.0051804618531936,-0.0125284072596969,0.0767328981313586,0.0955087339058611,NA,NA,0.0472177226929896,-0.0145683847871359,-0.0248650183117808,0.0530657653796172,0.0115609025374464,0.0329468736659,0.016522140325595,NA,-0.0428866482395376,NA,NA,0.532862407862408,0.081299906321096,0.494897959183674,0.335542251518341,-0.116693154528814,0.093431012780063,0.512846266288795,-0.0032802569534614,-0.039775276664344,0.00345295420345401,-0.031821231445781,0.865362249435589,0.287623069792011,NA,NA,0
"FERIUCNNQQJTOY-UHFFFAOYSA-N",0.0245331022432342,-0.0435802883003687,0.0705386520163134,0.0384011815748181,0.298025510147947,-0.0237132573391516,0.0781827593129944,NA,0.0275416366222137,0.0926565925529466,0.348869313682578,0.117291370926506,0.304635582799468,0.015121415619163,0.181794479309249,NA,NA,-0.0064388712806357,NA,NA,NA,-0.0576474944137715,NA,0.0181416073252834,-0.0308048706753428,-0.0133492728917666,-0.0344416279600334,0.0985790954107152,NA,NA,NA,0.0323945458309323,-0.071286813920952,NA,0.024846448601766,NA,0.04959723639837,NA,0.0284848586474549,0.239801598377357,0.140993224666019,0.0377336044741588,NA,0.0245835652577453,NA,0.0158790337315489,-0.0195137432065607,0.0689656161055506,NA,NA,NA,0.0635365826711832,-0.0042101822471662,-0.0170778205381215,NA,NA,0.0584264223560101,NA,0.00462648024464188,-0.0389801978172877,-0.0146325058189028,NA,0.483108108108108,0.036133291698265,0.193877551020409,0.539916842640019,-0.103260723632768,0.143456512336423,0.139858892630998,0.0201599125264812,-0.0425659677916809,0.08679477294811,-0.0605265190844794,0.949750290757337,0.217432913659075,NA,NA,0
"NQPDZGIKBAWPEJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,0.155176688201037,NA,0.0177515205855125,0.0879328018505496,0.0696840762268759,0.0603116465187067,0.0106779719642841,0.056324201518563,0.0703133934756625,NA,NA,0.0042925808537572,NA,NA,NA,-0.0576474944137715,NA,0.0967119625636684,NA,0.0657123321666013,-0.0239823710127384,0.0059328998622091,0.282042987738628,NA,NA,0.0236428296880485,-0.046048471005815,NA,0.0122550078472713,NA,0.0479931251349074,NA,0.00657455178230529,0.457803399480487,0.0564690901003699,0.0105063280294266,NA,NA,NA,0.0553169509110004,-0.0072894052995491,0.0396846521371516,NA,NA,NA,0.0359318840079154,-0.0145683847871359,-0.0204424333985925,NA,NA,-0.0120295262699008,NA,NA,-0.0499480586942481,NA,NA,0.533476658476658,0.054199937547397,0.114285714285715,0.190839655551056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
