bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,is_canonical,across_dataset_cluster,notes
5813083723,581,1127,1127,4167,Traced,M_l2PNm17_R,1372649248,True,right,M_l2PNm17,M_l2PNm17,mPN,AVM03,mPN,2.396,2.0,2618.0,1442.0,126.0,986.0,3371.9783422771,533.753352330788,1646.0373743176099,269.481859544412,0.20093919406248,False,174,
2069644133,449,1605,1605,3180,Traced,VP5+_l2PN(t10ALT)_R,737116254,True,right,VP5+_l2PN,VP5+_l2PN,uPN,AVM03,VP5,2.076,2.0,1401.0,1760.0,108.0,1490.0,2749.26277175224,381.150949136627,1609.12645200772,112.680323900807,0.13395595020615,False,172,
1888178718,983,3136,3136,10051,Traced,M_lv2PN9t49_R,1504419012,False,right,M_lv2PN9t49,M_lv2PN9t49,mPN,,mPN,2.66,3.0,3138.0,6656.0,72.0,3055.0,5865.83654693958,345.46259687388704,4749.45785073232,15.9413997415097,0.10606594594702,False,194,
5813063239,1296,1327,1327,10131,Traced,VP5+Z_adPN(uniAL+SEZ)_R,1737291905,False,right,VP5+Z_adPN,VP5+Z_adPN,uPN,AVM01,VP5,2.189,2.0,9732.0,124.0,225.0,1071.0,3331.7092375303996,1043.20575926415,1500.70758618552,297.162107683787,0.632285237297068,False,48,
2065197353,623,2302,2302,4060,Traced,VP5+VP3_l2PN(t10ALT)_R,1061326686,True,right,VP5+VP3_l2PN,VP5+VP3_l2PN,biPN,AVM03,VP5,2.08,2.0,2712.0,1337.0,1041.0,1247.0,3815.2802438965996,1504.70791079176,1212.4206125399,119.54787440777399,0.0335425486487518,False,170,
2038617453,401,1536,1536,3013,Traced,VP5+VP2_l2PN(t10ALT)_R,752739483,True,right,VP5+VP2_l2PN,VP5+VP2_l2PN,biPN,AVM03,VP5,2.0780000000000003,2.0,1430.0,1493.0,120.0,1403.0,2620.93176262236,463.438565359742,1472.4685438681602,126.093868550321,0.15023768746519198,False,175,
2100010400,370,1506,1506,2685,Traced,VP5+VP2_l2PN(t10ALT)_R,655972602,True,right,VP5+VP2_l2PN,VP5+VP2_l2PN,biPN,AVM03,VP5,2.145,2.0,1332.0,1242.0,113.0,1380.0,2571.2073998579604,447.141769178942,1494.83553090565,145.656939492177,0.17331761870099202,False,175,
480927537,82,276,276,692,Traced,M_vPNml70_R,240153322,False,right,M_vPNml70,M_vPNml70,mPN,AVM04,mPN,2.7230000000000003,3.0,641.0,7.0,131.0,137.0,1180.53374172547,429.05113807287995,258.31771860715196,249.189186075459,0.3144685949770639,False,119,
541632990,96,311,311,811,Traced,M_vPNml70_R,232227341,False,right,M_vPNml70,M_vPNml70,mPN,AVM04,mPN,2.717,3.0,715.0,19.0,158.0,144.0,1216.80536306541,402.522102074898,272.000179000118,266.743495131991,0.245847301531451,False,119,
791298858,101,148,148,918,Traced,M_vPNml84_R,223429859,False,right,M_vPNml84,M_vPNml84,mPN,AVM04,mPN,3.0460000000000003,3.0,870.0,0.0,61.0,83.0,894.148113209584,202.956040163849,304.564195810907,243.079066630325,0.45644567515261003,False,121,
729544359,94,155,155,984,Traced,M_vPNml84_R,221666682,False,right,M_vPNml84,M_vPNml84,mPN,AVM04,mPN,3.034,3.0,959.0,9.0,66.0,87.0,944.687030472733,259.280144937271,311.39098038647,232.34163825779203,0.38507368567796996,False,117,
5813045696,97,249,249,810,Traced,M_vPNml86_R,215540611,False,right,M_vPNml86,M_vPNml86,mPN,AVM04,mPN,2.978,3.0,770.0,0.0,155.0,92.0,1138.32322548131,440.77669729386497,227.26944835789502,245.40564129438098,0.258399875399421,False,112,
